advertisement_ID,x,y,types,location
stall_8_1_GX010011,3084,1796,B4,L1
stall_7_1_GX010011,2831,1570,B4,L2
stall_4_1_GX010011,2157,1434,B1,L3
stall_4_2_GX010011,2158,1586,B1,L2
stall_5_1_GX010011,2357,1450,B3,L3
stall_1_1_GX010011,1879,1561,B3,L1
stall_2_1_GX010011,2037,1580,B4,L2
stall_3_1_GX010011,2104,1587,B4,L2
