frame,id,x,y
5,1,4787,1803
5,2,1466,1641
5,3,2568,1464
5,4,4851,1691
5,5,4588,1926
5,6,4495,1667
5,7,3984,1607
5,8,2315,1473
6,1,4790,1805
6,2,1465,1641
6,3,2568,1464
6,4,4852,1686
6,5,4583,1958
6,6,4492,1665
6,7,3984,1607
6,8,2316,1474
7,1,4775,1805
7,2,1467,1640
7,3,2570,1466
7,4,4852,1681
7,5,4643,1937
7,6,4492,1665
7,7,3986,1607
7,8,2317,1472
8,1,4746,1803
8,2,1472,1641
8,3,2571,1467
8,4,4851,1679
8,5,4667,1930
8,6,4490,1670
8,7,3988,1608
8,8,2317,1470
9,1,4714,1802
9,2,1474,1641
9,3,2573,1468
9,4,4848,1676
9,5,4675,1930
9,6,4491,1669
9,7,3989,1608
9,8,2317,1469
10,1,4685,1800
10,2,1478,1640
10,3,2573,1469
10,4,4841,1675
10,5,4638,1931
10,6,4490,1663
10,7,3988,1608
10,8,2316,1469
11,1,4668,1802
11,2,1479,1640
11,3,2576,1470
11,4,4842,1670
11,5,4619,1933
11,6,4488,1666
11,7,3988,1609
11,8,2316,1468
12,1,4660,1796
12,2,1480,1641
12,3,2580,1470
12,4,4836,1672
12,5,4609,1934
12,6,4490,1665
12,7,3988,1609
12,8,2315,1467
13,1,4653,1803
13,2,1480,1640
13,3,2584,1470
13,4,4844,1674
13,5,4603,1936
13,6,4490,1666
13,7,3988,1609
13,8,2316,1468
14,1,4650,1805
14,2,1480,1640
14,3,2585,1469
14,4,4848,1675
14,5,4601,1938
14,6,4488,1669
14,7,3987,1609
14,8,2314,1468
15,1,4647,1807
15,2,1480,1641
15,3,2583,1469
15,4,4845,1672
15,5,4599,1941
15,6,4486,1670
15,7,3988,1609
15,8,2314,1468
16,1,4628,1801
16,2,1479,1641
16,3,2581,1469
16,4,4852,1672
16,5,4604,1942
16,6,4484,1668
16,7,3988,1611
16,8,2315,1468
17,1,4611,1804
17,2,1478,1642
17,3,2578,1469
17,4,4852,1697
17,5,4606,1942
17,6,4483,1671
17,7,3987,1612
17,8,2315,1469
18,1,4605,1806
18,2,1476,1641
18,3,2575,1468
18,4,4852,1728
18,5,4605,1945
18,6,4483,1672
18,7,3986,1614
18,8,2316,1469
19,1,4608,1806
19,2,1477,1640
19,3,2573,1468
19,4,4856,1734
19,5,4605,1945
19,6,4482,1672
19,7,3984,1615
19,8,2315,1470
20,1,4617,1809
20,2,1477,1642
20,3,2569,1468
20,4,4861,1739
20,5,4608,1947
20,6,4482,1672
20,7,3984,1615
20,8,2314,1472
20,unknown_1,3706,1490
21,1,4614,1809
21,2,1475,1643
21,3,2568,1467
21,4,4867,1744
21,5,4613,1946
21,6,4481,1669
21,7,3983,1615
21,8,2315,1474
21,unknown_1,3706,1494
22,1,4616,1809
22,2,1476,1644
22,3,2567,1467
22,4,4875,1758
22,5,4614,1947
22,6,4480,1668
22,7,3981,1616
22,8,2317,1476
22,unknown_1,3706,1497
23,1,4615,1810
23,2,1478,1648
23,3,2566,1468
23,4,4879,1779
23,5,4619,1946
23,6,4478,1667
23,7,3983,1617
23,8,2317,1475
23,unknown_1,3707,1498
24,1,4619,1808
24,2,1478,1650
24,3,2565,1470
24,4,4882,1787
24,5,4625,1947
24,6,4478,1667
24,7,3982,1619
24,8,2317,1476
24,unknown_1,3707,1496
25,1,4625,1809
25,2,1477,1652
25,3,2564,1472
25,4,4885,1795
25,5,4630,1948
25,6,4476,1668
25,7,3983,1620
25,8,2316,1475
25,unknown_1,3707,1495
26,1,4629,1810
26,2,1475,1653
26,3,2561,1471
26,4,4890,1788
26,5,4626,1948
26,6,4475,1673
26,7,3985,1620
26,8,2315,1480
26,unknown_1,3707,1496
26,unknown_2,3145,1513
27,1,4632,1808
27,2,1474,1655
27,3,2560,1472
27,4,4894,1779
27,5,4622,1949
27,6,4474,1678
27,7,3991,1618
27,8,2314,1482
27,unknown_1,3707,1498
27,unknown_2,3144,1514
28,1,4634,1809
28,2,1473,1655
28,3,2560,1473
28,4,4899,1774
28,5,4613,1956
28,6,4474,1681
28,7,3990,1617
28,8,2314,1482
28,unknown_1,3707,1496
28,unknown_2,3145,1513
29,1,4636,1812
29,2,1473,1656
29,3,2558,1477
29,4,4903,1776
29,5,4606,1960
29,6,4467,1681
29,7,3992,1618
29,8,2314,1482
29,unknown_1,3706,1497
29,unknown_2,3145,1514
30,1,4637,1810
30,2,1474,1654
30,3,2557,1480
30,4,4906,1779
30,5,4602,1960
30,6,4465,1681
30,7,3995,1620
30,8,2313,1483
30,unknown_1,3706,1502
30,unknown_2,3145,1519
31,1,4637,1813
31,2,1474,1654
31,3,2557,1482
31,4,4909,1783
31,5,4599,1962
31,6,4461,1682
31,7,3998,1622
31,8,2312,1483
31,unknown_1,3704,1505
31,unknown_2,3145,1521
32,1,4641,1816
32,2,1472,1658
32,3,2558,1486
32,4,4913,1787
32,5,4598,1962
32,6,4459,1684
32,7,3997,1624
32,8,2309,1484
32,unknown_1,3702,1506
32,unknown_2,3143,1523
33,1,4645,1819
33,2,1472,1660
33,3,2558,1489
33,4,4917,1791
33,5,4597,1961
33,6,4459,1686
33,7,3997,1626
33,8,2311,1486
33,unknown_1,3701,1508
33,unknown_2,3143,1524
34,1,4648,1821
34,2,1473,1660
34,3,2560,1492
34,4,4920,1794
34,5,4646,1955
34,6,4459,1688
34,7,3995,1626
34,8,2311,1486
34,unknown_1,3700,1509
34,unknown_2,3140,1524
35,1,4647,1824
35,2,1474,1660
35,3,2562,1495
35,4,4923,1798
35,5,4615,1962
35,6,4457,1691
35,7,3996,1627
35,8,2310,1487
35,unknown_1,3700,1511
35,unknown_2,3140,1528
36,1,4646,1827
36,2,1476,1660
36,3,2563,1496
36,4,4927,1802
36,5,4608,1964
36,6,4456,1693
36,7,3992,1629
36,8,2312,1491
36,unknown_1,3699,1512
36,unknown_2,3139,1529
36,unknown_3,332,1462
37,1,4646,1830
37,2,1476,1661
37,3,2561,1552
37,4,4930,1806
37,5,4607,1968
37,6,4456,1695
37,7,3988,1634
37,8,2311,1493
37,unknown_1,3699,1513
37,unknown_2,3137,1530
37,unknown_3,308,1460
38,1,4646,1833
38,2,1476,1660
38,3,2561,1523
38,4,4933,1809
38,5,4609,1969
38,6,4456,1697
38,7,3986,1638
38,8,2310,1495
38,unknown_1,3698,1515
38,unknown_2,3136,1534
38,unknown_3,245,1467
39,1,4649,1834
39,2,1477,1661
39,3,2561,1506
39,4,4937,1813
39,5,4600,1972
39,6,4456,1702
39,7,3983,1640
39,8,2311,1497
39,unknown_1,3698,1516
39,unknown_2,3135,1537
39,unknown_3,213,1467
40,1,4651,1836
40,2,1477,1663
40,3,2561,1500
40,4,4940,1817
40,5,4614,1970
40,6,4455,1706
40,7,3982,1641
40,8,2310,1498
40,unknown_1,3697,1518
40,unknown_2,3138,1536
