frame,old_id,id,x,y
52,3,3,2920,1372
52,4,4,4821,1516
52,5,5,3585,1423
52,6,6,4526,1421
52,unknown_1,7,2571,1404
52,unknown_2,16,3640,1417
52,21,21,3642,1440
53,1,1,4996,1670
53,2,2,518,1621
53,3,3,2920,1371
53,4,4,4822,1519
53,5,5,3560,1422
53,6,6,4528,1419
53,unknown_1,7,2571,1386
53,unknown_2,16,3640,1418
53,21,21,3642,1440
54,1,1,4994,1670
54,2,2,518,1620
54,3,3,2921,1370
54,4,4,4823,1520
54,5,5,3555,1422
54,6,6,4528,1418
54,unknown_1,7,2573,1381
54,unknown_2,16,3640,1419
54,21,21,3642,1440
55,1,1,4994,1671
55,2,2,520,1620
55,3,3,2921,1368
55,4,4,4824,1520
55,5,5,3555,1421
55,6,6,4528,1418
55,unknown_1,7,2574,1380
55,unknown_2,16,3640,1420
55,21,21,3642,1440
56,1,1,4993,1671
56,2,2,520,1619
56,3,3,2921,1368
56,4,4,4824,1514
56,5,5,3556,1420
56,6,6,4528,1417
56,unknown_1,7,2575,1379
56,unknown_2,16,3641,1421
56,21,21,3642,1440
57,1,1,4988,1673
57,2,2,520,1616
57,3,3,2921,1367
57,4,4,4825,1510
57,5,5,3557,1419
57,6,6,4528,1416
57,unknown_1,7,2575,1381
57,unknown_2,16,3641,1423
57,21,21,3642,1440
58,1,1,4989,1671
58,2,2,522,1619
58,3,3,2921,1365
58,4,4,4825,1514
58,5,5,3558,1419
58,6,6,4528,1415
58,unknown_1,7,2576,1381
58,unknown_2,16,3641,1424
58,21,21,3642,1440
59,1,1,4987,1669
59,2,2,522,1619
59,unknown_3,3,3037,1389
59,4,4,4825,1516
59,5,5,3584,1424
59,6,6,4528,1415
59,unknown_1,7,2576,1381
59,unknown_2,16,3641,1425
59,21,21,3642,1440
60,1,1,4983,1670
60,2,2,522,1620
60,3,3,2925,1364
60,4,4,4824,1516
60,5,5,3568,1422
60,6,6,4528,1414
60,unknown_1,7,2576,1380
60,unknown_2,16,3641,1426
60,21,21,3642,1440
61,1,1,4973,1668
61,2,2,522,1618
61,4,4,4822,1516
61,5,5,3574,1423
61,6,6,4528,1413
61,unknown_1,7,2579,1386
61,unknown_2,16,3641,1427
61,21,21,3642,1440
62,1,1,4965,1668
62,2,2,521,1617
62,4,4,4821,1515
62,5,5,3584,1422
62,6,6,4528,1413
62,unknown_1,7,2582,1389
62,unknown_2,16,3641,1429
62,21,21,3642,1440
63,1,1,4965,1667
63,2,2,521,1617
63,4,4,4823,1509
63,5,5,3581,1419
63,6,6,4528,1412
63,unknown_1,7,2582,1392
63,unknown_2,16,3642,1430
63,21,21,3642,1440
64,1,1,4966,1666
64,2,2,522,1617
64,4,4,4823,1506
64,5,5,3574,1422
64,6,6,4527,1416
64,unknown_1,7,2584,1389
64,unknown_2,16,3642,1431
64,21,21,3642,1440
65,1,1,4956,1667
65,2,2,522,1616
65,4,4,4823,1507
65,5,5,3563,1422
65,6,6,4529,1415
65,unknown_1,7,2586,1385
65,unknown_2,16,3642,1432
65,21,21,3642,1440
66,1,1,4956,1666
66,2,2,522,1616
66,4,4,4824,1505
66,5,5,3555,1422
66,6,6,4536,1415
66,unknown_1,7,2588,1384
66,unknown_2,16,3642,1433
66,21,21,3642,1440
67,1,1,4953,1667
67,2,2,522,1616
67,4,4,4823,1504
67,5,5,3550,1429
67,6,6,4539,1414
67,unknown_1,7,2588,1379
67,unknown_2,16,3643,1434
67,21,21,3642,1440
68,1,1,4957,1667
68,2,2,522,1616
68,4,4,4822,1504
68,5,5,3547,1425
68,6,6,4537,1414
68,unknown_1,7,2587,1360
68,unknown_2,16,3643,1435
68,21,21,3642,1440
69,1,1,4959,1668
69,2,2,523,1615
69,4,4,4821,1505
69,5,5,3556,1420
69,6,6,4536,1413
69,unknown_1,7,2586,1355
69,8,8,3643,1437
69,16,16,3643,1435
69,21,21,3642,1440
70,1,1,4966,1670
70,2,2,524,1615
70,4,4,4820,1504
70,5,5,3571,1422
70,6,6,4538,1412
70,unknown_1,7,2586,1356
70,8,8,3643,1438
70,16,16,3643,1435
70,21,21,3642,1440
71,1,1,4968,1667
71,2,2,526,1615
71,4,4,4821,1503
71,5,5,3582,1421
71,6,6,4541,1412
71,unknown_1,7,2585,1356
71,8,8,3644,1439
71,16,16,3643,1435
71,21,21,3642,1440
72,1,1,4961,1666
72,2,2,526,1616
72,4,4,4819,1502
72,5,5,3582,1422
72,6,6,4543,1412
72,unknown_1,7,2587,1369
72,8,8,3644,1440
72,16,16,3643,1435
72,21,21,3642,1440
73,1,1,4966,1667
73,2,2,527,1612
73,4,4,4818,1504
73,5,5,3581,1421
73,6,6,4544,1413
73,unknown_1,7,2587,1373
73,8,8,3644,1441
73,16,16,3643,1435
73,21,21,3642,1440
74,1,1,4967,1664
74,2,2,527,1613
74,4,4,4817,1505
74,5,5,3571,1421
74,6,6,4544,1412
74,unknown_1,7,2590,1376
74,8,8,3644,1442
74,16,16,3643,1435
74,21,21,3642,1440
75,1,1,4966,1665
75,2,2,527,1613
75,unknown_3,3,3014,1374
75,4,4,4816,1505
75,5,5,3559,1419
75,6,6,4544,1413
75,unknown_1,7,2590,1378
75,8,8,3644,1443
75,16,16,3643,1435
75,21,21,3642,1440
76,1,1,4965,1666
76,2,2,528,1615
76,3,3,2941,1363
76,4,4,4818,1505
76,5,5,3559,1421
76,6,6,4545,1418
76,unknown_1,7,2588,1373
76,8,8,3644,1444
76,16,16,3643,1435
76,21,21,3642,1440
77,1,1,4966,1666
77,2,2,527,1615
77,4,4,4819,1505
77,5,5,3552,1420
77,6,6,4545,1419
77,unknown_1,7,2587,1381
77,8,8,3645,1446
77,16,16,3643,1435
77,21,21,3642,1440
78,1,1,4967,1665
78,2,2,526,1615
78,4,4,4822,1489
78,5,5,3550,1421
78,6,6,4545,1421
78,unknown_1,7,2589,1383
78,8,8,3645,1447
78,16,16,3643,1435
78,21,21,3642,1440
79,1,1,4964,1665
79,2,2,526,1615
79,4,4,4823,1487
79,5,5,3550,1424
79,6,6,4545,1421
79,unknown_1,7,2589,1385
79,8,8,3645,1448
79,16,16,3643,1435
79,21,21,3642,1440
80,1,1,4963,1666
80,2,2,526,1615
80,4,4,4823,1485
80,5,5,3554,1426
80,6,6,4546,1425
80,unknown_1,7,2591,1387
80,8,8,3645,1449
80,16,16,3643,1435
80,21,21,3642,1440
81,1,1,4962,1667
81,2,2,526,1614
81,4,4,4823,1490
81,5,5,3558,1426
81,6,6,4546,1425
81,unknown_1,7,2591,1387
81,8,8,3645,1450
81,unknown_4,10,4448,1403
81,16,16,3643,1435
81,21,21,3642,1440
82,1,1,4966,1666
82,2,2,526,1615
82,4,4,4825,1492
82,5,5,3573,1436
82,6,6,4547,1420
82,unknown_1,7,2590,1383
82,8,8,3645,1451
82,unknown_4,10,4445,1404
82,16,16,3643,1435
82,21,21,3642,1440
83,1,1,4971,1667
83,2,2,527,1615
83,4,4,4826,1487
83,5,5,3585,1432
83,6,6,4548,1415
83,unknown_1,7,2589,1372
83,8,8,3646,1452
83,unknown_4,10,4445,1402
83,16,16,3643,1435
83,21,21,3642,1440
84,1,1,4976,1669
84,2,2,527,1616
84,4,4,4826,1491
84,5,5,3591,1432
84,6,6,4547,1413
84,unknown_1,7,2589,1363
84,8,8,3646,1453
84,9,9,3002,1366
84,unknown_4,10,4445,1402
84,16,16,3643,1435
84,21,21,3642,1440
85,1,1,4973,1668
85,2,2,527,1617
85,3,3,2941,1357
85,4,4,4826,1495
85,5,5,3592,1436
85,6,6,4547,1413
85,unknown_1,7,2588,1352
85,8,8,3646,1455
85,9,9,3001,1365
85,unknown_4,10,4444,1401
85,16,16,3643,1435
85,21,21,3642,1440
86,1,1,4978,1669
86,2,2,528,1617
86,3,3,2941,1357
86,4,4,4827,1495
86,5,5,3588,1437
86,6,6,4548,1412
86,unknown_1,7,2589,1345
86,8,8,3646,1456
86,9,9,2999,1364
86,unknown_4,10,4447,1401
86,16,16,3643,1435
86,21,21,3642,1440
87,1,1,4988,1669
87,2,2,529,1618
87,3,3,2941,1357
87,4,4,4829,1489
87,5,5,3590,1440
87,6,6,4549,1411
87,unknown_1,7,2590,1341
87,8,8,3647,1457
87,9,9,2998,1363
87,unknown_4,10,4448,1400
87,16,16,3643,1435
87,21,21,3642,1440
88,1,1,4996,1670
88,2,2,529,1618
88,3,3,2939,1357
88,4,4,4828,1502
88,5,5,3593,1438
88,6,6,4549,1411
88,unknown_1,7,2592,1343
88,8,8,3647,1458
88,9,9,2997,1362
88,unknown_4,10,4447,1398
88,16,16,3643,1435
88,21,21,3642,1440
89,1,1,5004,1674
89,2,2,530,1619
89,3,3,2939,1356
89,4,4,4827,1512
89,5,5,3596,1438
89,6,6,4545,1401
89,unknown_1,7,2594,1344
89,8,8,3647,1460
89,9,9,2995,1361
89,unknown_4,10,4446,1392
89,16,16,3643,1435
89,21,21,3642,1440
90,1,1,5006,1677
90,2,2,530,1618
90,3,3,2938,1357
90,4,4,4827,1520
90,5,5,3598,1436
90,6,6,4544,1401
90,unknown_1,7,2594,1338
90,8,8,3647,1461
90,9,9,2994,1360
90,unknown_4,10,4445,1387
90,16,16,3643,1435
90,21,21,3642,1440
91,1,1,5010,1679
91,2,2,531,1618
91,3,3,2937,1357
91,4,4,4828,1522
91,5,5,3598,1439
91,6,6,4543,1400
91,unknown_1,7,2594,1336
91,8,8,3648,1462
91,9,9,2993,1359
91,unknown_4,10,4442,1387
91,16,16,3643,1435
91,21,21,3642,1440
92,1,1,5012,1677
92,2,2,530,1614
92,3,3,2937,1357
92,4,4,4829,1525
92,5,5,3597,1441
92,6,6,4542,1402
92,unknown_1,7,2595,1333
92,8,8,3648,1463
92,9,9,2992,1359
92,unknown_4,10,4441,1388
92,16,16,3643,1435
92,21,21,3642,1440
93,1,1,5015,1676
93,2,2,530,1616
93,3,3,2938,1357
93,4,4,4832,1520
93,5,5,3599,1437
93,6,6,4542,1401
93,7,7,2596,1331
93,8,8,3648,1464
93,9,9,2990,1358
93,unknown_4,10,4438,1389
93,16,16,3643,1435
93,21,21,3642,1440
94,1,1,5018,1674
94,2,2,531,1617
94,3,3,2938,1356
94,4,4,4833,1516
94,5,5,3601,1429
94,6,6,4542,1402
94,7,7,2597,1328
94,8,8,3648,1465
94,9,9,2989,1357
94,unknown_4,10,4434,1389
94,16,16,3643,1435
94,21,21,3642,1440
95,1,1,5020,1673
95,2,2,532,1617
95,3,3,2939,1357
95,4,4,4831,1515
95,5,5,3604,1428
95,6,6,4542,1402
95,7,7,2597,1325
95,8,8,3648,1466
95,9,9,2988,1356
95,unknown_4,10,4431,1389
95,16,16,3643,1435
95,21,21,3642,1440
96,1,1,5024,1671
96,2,2,532,1617
96,3,3,2941,1357
96,4,4,4829,1513
96,5,5,3604,1421
96,6,6,4541,1402
96,8,8,3648,1467
96,9,9,2986,1355
96,unknown_4,10,4431,1386
96,16,16,3643,1435
96,21,21,3642,1440
97,1,1,5030,1671
97,2,2,532,1618
97,3,3,2942,1356
97,4,4,4826,1511
97,5,5,3600,1416
97,6,6,4540,1401
97,7,7,2594,1388
97,8,8,3649,1469
97,9,9,2985,1354
97,unknown_4,10,4430,1382
97,16,16,3643,1435
97,21,21,3642,1440
98,1,1,5035,1670
98,2,2,532,1618
98,3,3,2943,1356
98,4,4,4825,1508
98,5,5,3581,1416
98,6,6,4541,1406
98,7,7,2595,1392
98,8,8,3649,1470
98,9,9,2984,1353
98,unknown_4,10,4430,1385
98,16,16,3643,1435
98,21,21,3642,1440
99,1,1,5040,1671
99,2,2,532,1619
99,3,3,2943,1356
99,4,4,4823,1514
99,5,5,3579,1414
99,6,6,4539,1403
99,7,7,2595,1395
99,8,8,3649,1471
99,9,9,2983,1352
99,unknown_4,10,4430,1387
99,16,16,3643,1435
99,21,21,3642,1440
100,1,1,5044,1671
100,2,2,532,1619
100,3,3,2942,1357
100,4,4,4819,1530
100,5,5,3567,1419
100,6,6,4536,1402
100,7,7,2595,1398
100,8,8,3649,1472
100,9,9,2981,1351
100,unknown_4,10,4427,1385
100,16,16,3643,1435
100,21,21,3642,1440
101,1,1,5045,1670
101,2,2,532,1619
101,3,3,2942,1357
101,4,4,4820,1528
101,5,5,3566,1429
101,6,6,4534,1402
101,7,7,2598,1376
101,8,8,3649,1473
101,9,9,2980,1351
101,unknown_4,10,4423,1384
101,16,16,3643,1435
101,21,21,3642,1440
102,1,1,5054,1665
102,2,2,533,1618
102,3,3,2942,1358
102,4,4,4819,1528
102,5,5,3568,1440
102,6,6,4535,1409
102,7,7,2597,1380
102,9,9,2978,1350
102,unknown_4,10,4422,1384
102,16,16,3643,1435
102,21,21,3642,1440
103,1,1,5061,1653
103,2,2,533,1618
103,3,3,2942,1358
103,4,4,4821,1530
103,5,5,3566,1445
103,6,6,4535,1409
103,7,7,2596,1382
103,8,8,3688,1419
103,9,9,2977,1349
103,unknown_4,10,4416,1396
103,16,16,3643,1435
103,21,21,3642,1440
104,1,1,5072,1650
104,2,2,535,1618
104,3,3,2942,1358
104,4,4,4821,1532
104,5,5,3565,1444
104,6,6,4534,1408
104,7,7,2596,1383
104,8,8,3691,1414
104,9,9,2976,1348
104,10,10,4413,1396
104,16,16,3643,1435
104,21,21,3642,1440
105,1,1,5081,1673
105,2,2,534,1617
105,3,3,2942,1359
105,4,4,4822,1532
105,5,5,3563,1441
105,6,6,4534,1419
105,7,7,2597,1385
105,8,8,3692,1413
105,9,9,2975,1347
105,10,10,4411,1397
105,16,16,3643,1435
105,21,21,3642,1440
106,1,1,5091,1649
106,2,2,535,1616
106,3,3,2942,1360
106,4,4,4822,1533
106,5,5,3565,1436
106,6,6,4534,1411
106,7,7,2597,1387
106,8,8,3693,1412
106,9,9,2973,1346
106,10,10,4397,1402
106,16,16,3643,1435
106,21,21,3642,1440
107,1,1,5101,1644
107,2,2,535,1616
107,3,3,2942,1362
107,4,4,4822,1533
107,5,5,3565,1432
107,6,6,4534,1408
107,7,7,2597,1388
107,8,8,3694,1411
107,9,9,2972,1345
107,10,10,4393,1404
107,16,16,3643,1435
107,21,21,3642,1440
108,1,1,5107,1642
108,2,2,535,1617
108,3,3,2943,1362
108,4,4,4822,1533
108,5,5,3566,1431
108,6,6,4533,1412
108,7,7,2597,1373
108,8,8,3696,1410
108,9,9,2971,1345
108,10,10,4390,1406
108,16,16,3643,1435
108,21,21,3642,1440
109,1,1,5114,1639
109,2,2,536,1617
109,3,3,2944,1361
109,4,4,4822,1533
109,5,5,3567,1431
109,6,6,4533,1412
109,7,7,2597,1371
109,8,8,3697,1409
109,9,9,2969,1343
109,10,10,4385,1405
109,16,16,3643,1435
109,21,21,3642,1440
110,1,1,5120,1637
110,2,2,536,1616
110,3,3,2944,1362
110,4,4,4823,1533
110,5,5,3568,1428
110,6,6,4534,1406
110,7,7,2597,1378
110,8,8,3698,1408
110,9,9,2968,1343
110,10,10,4381,1402
110,16,16,3643,1435
110,21,21,3642,1440
111,1,1,5126,1635
111,2,2,536,1615
111,3,3,2945,1361
111,4,4,4823,1534
111,5,5,3570,1430
111,6,6,4535,1403
111,7,7,2597,1383
111,8,8,3700,1407
111,9,9,2967,1342
111,10,10,4380,1401
111,unknown_5,12,5107,2300
111,16,16,3643,1435
111,21,21,3642,1440
112,1,1,5133,1632
112,2,2,536,1615
112,3,3,2944,1361
112,4,4,4822,1535
112,5,5,3571,1436
112,6,6,4535,1399
112,7,7,2597,1384
112,8,8,3698,1408
112,9,9,2966,1341
112,10,10,4378,1400
112,16,16,3643,1435
112,21,21,3642,1440
113,1,1,5139,1630
113,2,2,536,1614
113,3,3,2944,1361
113,4,4,4822,1536
113,5,5,3570,1437
113,6,6,4535,1397
113,7,7,2597,1385
113,8,8,3699,1408
113,9,9,2964,1340
113,10,10,4377,1400
113,unknown_5,12,5118,2115
113,16,16,3643,1435
113,21,21,3642,1440
114,1,1,5146,1628
114,2,2,536,1610
114,3,3,2944,1360
114,4,4,4822,1536
114,5,5,3575,1449
114,6,6,4535,1397
114,7,7,2598,1395
114,8,8,3701,1408
114,9,9,2963,1339
114,10,10,4375,1401
114,unknown_5,12,5123,2115
114,16,16,3643,1435
114,21,21,3642,1440
115,1,1,5152,1625
115,2,2,536,1610
115,3,3,2943,1359
115,5,5,3585,1446
115,6,6,4535,1397
115,7,7,2598,1397
115,8,8,3702,1361
115,9,9,2961,1338
115,10,10,4371,1400
115,unknown_5,12,5140,2129
115,16,16,3643,1435
115,21,21,3642,1440
116,1,1,5158,1623
116,2,2,536,1609
116,3,3,2942,1358
116,5,5,3586,1448
116,6,6,4534,1398
116,7,7,2599,1399
116,8,8,3707,1397
116,9,9,2960,1337
116,10,10,4369,1395
116,unknown_5,12,5151,2162
116,16,16,3643,1435
116,21,21,3642,1440
117,1,1,5165,1620
117,2,2,535,1608
117,3,3,2942,1358
117,5,5,3588,1449
117,6,6,4535,1398
117,7,7,2602,1376
117,8,8,3707,1358
117,9,9,2959,1337
117,10,10,4366,1385
117,unknown_5,12,5163,2180
117,16,16,3643,1435
117,21,21,3642,1440
118,1,1,5171,1618
118,2,2,535,1608
118,3,3,2941,1358
118,5,5,3589,1451
118,6,6,4535,1397
118,7,7,2602,1379
118,8,8,3707,1340
118,9,9,2958,1335
118,10,10,4361,1384
118,unknown_5,12,5174,2188
118,16,16,3643,1435
118,21,21,3642,1440
119,1,1,5178,1616
119,2,2,535,1607
119,3,3,2942,1360
119,5,5,3591,1452
119,6,6,4535,1397
119,7,7,2603,1382
119,8,8,3707,1333
119,9,9,2956,1335
119,10,10,4358,1385
119,unknown_5,12,5179,2188
119,16,16,3643,1435
119,21,21,3642,1440
120,1,1,5184,1613
120,2,2,535,1607
120,3,3,2944,1359
120,unknown_6,4,5286,1609
120,5,5,3592,1453
120,6,6,4535,1399
120,7,7,2603,1381
120,8,8,3708,1327
120,9,9,2955,1334
120,10,10,4357,1384
120,unknown_5,12,5182,2180
120,16,16,3643,1435
120,21,21,3642,1440
121,1,1,5190,1611
121,2,2,536,1607
121,3,3,2944,1359
121,4,4,4827,1539
121,6,6,4535,1399
121,7,7,2605,1377
121,8,8,3709,1320
121,9,9,2954,1333
121,10,10,4358,1380
121,16,16,3643,1435
121,21,21,3642,1440
122,1,1,5197,1609
122,2,2,536,1606
122,3,3,2943,1360
122,5,5,3710,1406
122,6,6,4535,1403
122,7,7,2605,1377
122,8,8,3710,1314
122,9,9,2952,1332
122,10,10,4356,1383
122,unknown_5,12,5187,2238
122,16,16,3643,1435
122,21,21,3642,1440
123,1,1,5203,1606
123,2,2,536,1606
123,3,3,2944,1361
123,5,5,3714,1406
123,6,6,4536,1406
123,7,7,2606,1372
123,8,8,3712,1308
123,9,9,2951,1331
123,10,10,4353,1381
123,unknown_5,12,5193,2237
123,16,16,3643,1435
123,21,21,3642,1440
124,1,1,5210,1604
124,2,2,537,1606
124,3,3,2944,1361
124,5,5,3716,1405
124,6,6,4536,1407
124,7,7,2605,1369
124,8,8,3713,1301
124,9,9,2950,1330
124,10,10,4349,1384
124,unknown_5,12,5198,2236
124,16,16,3643,1435
