frame,id,x,y
5,1,490,1723
5,2,5063,1817
5,3,2070,1662
5,4,1215,1665
5,5,4801,1709
5,6,105,1756
5,7,995,1676
5,8,3044,1643
5,9,3754,1803
5,10,4926,1703
5,12,3524,1762
5,13,1766,1637
5,14,84,2387
6,1,489,1722
6,2,5062,1817
6,3,2070,1661
6,4,1215,1672
6,5,4801,1709
6,6,104,1755
6,7,997,1675
6,8,3044,1643
6,9,3750,1803
6,10,4928,1702
6,12,3524,1763
6,13,1765,1637
6,14,84,2389
7,1,488,1721
7,2,5063,1816
7,3,2070,1660
7,4,1215,1666
7,5,4797,1711
7,6,105,1750
7,7,996,1676
7,8,3045,1643
7,9,3753,1801
7,10,4927,1703
7,12,3523,1763
7,13,1764,1635
7,14,82,2388
8,1,487,1720
8,2,5063,1815
8,3,2070,1660
8,4,1215,1666
8,5,4800,1709
8,6,105,1749
8,7,996,1676
8,8,3044,1643
8,9,3751,1802
8,10,4929,1701
8,12,3522,1762
8,13,1763,1635
8,14,82,2387
9,1,486,1718
9,2,5062,1819
9,3,2070,1659
9,4,1214,1661
9,5,4798,1708
9,6,105,1751
9,7,995,1677
9,8,3047,1642
9,9,3748,1802
9,10,4930,1701
9,12,3524,1762
9,13,1764,1635
9,14,81,2387
10,1,486,1717
10,2,5061,1820
10,3,2070,1659
10,4,1215,1663
10,5,4800,1710
10,6,105,1753
10,7,995,1678
10,8,3048,1642
10,9,3746,1803
10,10,4934,1700
10,12,3523,1763
10,13,1763,1635
10,14,81,2386
10,unknown_1,1849,1625
11,1,485,1717
11,2,5061,1819
11,3,2069,1658
11,4,1214,1659
11,5,4802,1711
11,6,106,1753
11,7,995,1677
11,8,3049,1642
11,9,3743,1803
11,10,4934,1700
11,12,3526,1763
11,13,1762,1635
11,14,83,2386
11,unknown_1,1849,1623
12,1,487,1718
12,2,5062,1820
12,3,2069,1657
12,4,1214,1658
12,5,4803,1711
12,6,106,1752
12,7,996,1677
12,8,3048,1641
12,9,3744,1804
12,10,4932,1698
12,12,3526,1763
12,13,1760,1637
12,14,82,2385
12,unknown_1,1852,1628
13,1,489,1719
13,2,5062,1818
13,3,2069,1657
13,4,1214,1656
13,5,4805,1712
13,6,107,1753
